epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.275,1.33484,1.12626,1.19717,0.94175,0.58553,0.63513,0.40709,1.25855,0.68141,1.17004,0.000474787,0.000474787,0.000474787
2,232.982,1.30124,0.80244,1.17074,0.62708,0.59868,0.63182,0.39406,1.30105,0.72676,1.21801,0.000932288,0.000932288,0.000932288
3,343.543,1.28668,0.79238,1.16734,0.94276,0.58677,0.62927,0.40129,1.2759,0.68703,1.20707,0.00137093,0.00137093,0.00137093
4,455.217,1.25977,0.76399,1.15302,0.94342,0.6047,0.63631,0.41906,1.22427,0.64118,1.16032,0.00134412,0.00134412,0.00134412
5,565.744,1.24487,0.7313,1.14957,0.946,0.60537,0.63819,0.41833,1.23686,0.6292,1.16974,0.00131582,0.00131582,0.00131582
6,675.461,1.22905,0.70456,1.14049,0.95456,0.61033,0.64104,0.42666,1.1965,0.59466,1.15041,0.00128753,0.00128753,0.00128753
7,788.205,1.20964,0.67817,1.1252,0.95266,0.61252,0.64778,0.43272,1.22098,0.58976,1.16599,0.00125923,0.00125923,0.00125923
8,902.118,1.1991,0.66416,1.12401,0.94808,0.60915,0.64222,0.43296,1.18574,0.58399,1.13894,0.00123094,0.00123094,0.00123094
9,1011.8,1.20225,0.65996,1.11789,0.9572,0.61468,0.64603,0.43808,1.17898,0.57625,1.13531,0.00120265,0.00120265,0.00120265
10,1120.76,1.18872,0.64234,1.11258,0.9602,0.61629,0.64811,0.44237,1.17619,0.55766,1.13005,0.00117435,0.00117435,0.00117435
11,1229.32,1.17937,0.64344,1.10857,0.95668,0.61397,0.65389,0.43757,1.19481,0.55862,1.14522,0.00114606,0.00114606,0.00114606
12,1337.13,1.17514,0.62739,1.10737,0.95771,0.61786,0.65198,0.43924,1.19435,0.55059,1.13997,0.00111776,0.00111776,0.00111776
13,1445.33,1.16832,0.62126,1.10264,0.95521,0.61225,0.6509,0.44796,1.15829,0.53477,1.1249,0.00108947,0.00108947,0.00108947
14,1554.77,1.17201,0.62175,1.10618,0.95685,0.61991,0.65854,0.44809,1.16758,0.53856,1.13369,0.00106118,0.00106118,0.00106118
15,1663.73,1.14669,0.60489,1.09813,0.95894,0.6216,0.65447,0.4457,1.1722,0.52202,1.13245,0.00103288,0.00103288,0.00103288
16,1771.43,1.1464,0.59742,1.09286,0.95541,0.61856,0.6514,0.43998,1.16986,0.53543,1.12935,0.00100459,0.00100459,0.00100459
17,1879.71,1.14032,0.5957,1.08771,0.95623,0.62269,0.65124,0.44399,1.15384,0.52277,1.12335,0.000976293,0.000976293,0.000976293
18,1987.83,1.13433,0.58199,1.0871,0.96158,0.6208,0.6542,0.44649,1.16039,0.52701,1.12422,0.000947999,0.000947999,0.000947999
19,2095.11,1.11834,0.56909,1.07749,0.96182,0.6221,0.65555,0.45039,1.14394,0.50542,1.11097,0.000919704,0.000919704,0.000919704
20,2203.82,1.12712,0.57385,1.0774,0.96396,0.61994,0.65945,0.45497,1.13983,0.51063,1.11552,0.00089141,0.00089141,0.00089141
21,2312.4,1.10884,0.56156,1.07155,0.96305,0.61961,0.6584,0.45503,1.14649,0.50191,1.11444,0.000863116,0.000863116,0.000863116
22,2421.34,1.12102,0.56851,1.08288,0.96497,0.61934,0.65684,0.44974,1.15854,0.50746,1.123,0.000834822,0.000834822,0.000834822
23,2529.3,1.11393,0.55718,1.07647,0.96387,0.62292,0.6569,0.45575,1.15359,0.49344,1.12768,0.000806528,0.000806528,0.000806528
24,2637.54,1.09392,0.55337,1.06931,0.95992,0.62607,0.65651,0.45304,1.14298,0.49475,1.11234,0.000778233,0.000778233,0.000778233
25,2744.71,1.10049,0.55141,1.06665,0.96259,0.62584,0.65666,0.45464,1.14401,0.49105,1.1086,0.000749939,0.000749939,0.000749939
26,2852.92,1.08627,0.54244,1.05925,0.96165,0.6227,0.65403,0.45273,1.14591,0.49724,1.11489,0.000721645,0.000721645,0.000721645
